Pathway	logFC	AveExpr	t	P.Value	adj.P.Val	B	Dataset	direction
HALLMARK_INTERFERON_GAMMA_RESPONSE	0.5482381573201647	-0.00362516007004194	20.512502903026107	1.1476314523885137e-13	5.738157261942568e-12	21.518625594601676	A2780	UP
HALLMARK_INTERFERON_ALPHA_RESPONSE	0.53615376236187	-0.027871635934693197	17.3864555734743	1.8126936412968758e-12	3.287971062811497e-11	18.677265625394273	A2780	UP
HALLMARK_E2F_TARGETS	0.8540107724530139	-0.024104143651132958	17.297815841820782	1.9727826376868983e-12	3.287971062811497e-11	18.58985193088238	A2780	UP
HALLMARK_ESTROGEN_RESPONSE_EARLY	0.414021636548186	-0.012496510411382611	12.940993182993752	2.2055598676717417e-10	2.7569498345896773e-9	13.700488860851813	A2780	UP
HALLMARK_ESTROGEN_RESPONSE_LATE	0.4368514114851345	-0.018797076170805047	12.415642762274873	4.2524917470855604e-10	4.252491747085561e-9	13.018058184029606	A2780	UP
HALLMARK_APOPTOSIS	0.30435921066672655	-0.02541544407526533	10.755648708311242	3.95929549184088e-9	3.2994129098674e-8	10.697517986042914	A2780	UP
HALLMARK_TNFA_SIGNALING_VIA_NFKB	0.37314025176183835	-0.013824864541146129	10.159776503364343	9.405817677973368e-9	6.718441198552406e-8	9.797449001945242	A2780	UP
HALLMARK_P53_PATHWAY	0.5450648728864349	-0.022935522149127304	9.599282721077268	2.1967925653191556e-8	1.3729953533244722e-7	8.91524710543958	A2780	UP
HALLMARK_ALLOGRAFT_REJECTION	0.32486669991655354	0.020651821577943503	9.367668122031539	3.151062089665103e-8	1.7505900498139457e-7	8.54016394580821	A2780	UP
HALLMARK_MYC_TARGETS_V2	0.5991127490749537	-0.03133286644536573	8.439453351535468	1.4252306222843933e-7	7.025509701446086e-7	6.971981493995567	A2780	UP
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	-0.23498620685763866	-0.023220589844787896	-8.391349708624757	1.5456121343181388e-7	7.025509701446086e-7	6.887783985234942	A2780	DOWN
HALLMARK_FATTY_ACID_METABOLISM	0.2640608633029571	-0.009449960832971848	7.158974426972438	1.3669171827359599e-6	5.695488261399833e-6	4.627822449776446	A2780	UP
HALLMARK_MYC_TARGETS_V1	0.4974114167764328	-0.03504387186074996	6.9263022793207245	2.1103228604669e-6	8.116626386411154e-6	4.178552594555655	A2780	UP
HALLMARK_G2M_CHECKPOINT	0.5109437706385644	-0.030506244246489612	6.8510044618107	2.4326012524081527e-6	8.687861615743403e-6	4.031618131996676	A2780	UP
HALLMARK_INFLAMMATORY_RESPONSE	0.24188471200234696	-0.004430481783758507	6.749643952219231	2.9490766909357328e-6	9.830255636452444e-6	3.8326407628620194	A2780	UP
HALLMARK_TGF_BETA_SIGNALING	-0.2765213094183295	-0.029785251395638437	-6.556935660970526	4.269048608965072e-6	1.334077690301585e-5	3.4506147656659385	A2780	DOWN
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	0.37668253055032397	-0.019649623873786333	5.684181333623915	2.426229647867797e-5	7.135969552552344e-5	1.661587150606315	A2780	UP
HALLMARK_IL2_STAT5_SIGNALING	-0.16970509899231812	-0.005430117176874933	-5.1233645184038625	7.79604858976573e-5	2.1655690527127026e-4	0.4662862795587239	A2780	DOWN
HALLMARK_MITOTIC_SPINDLE	0.34232322722399433	-0.037615904835478706	4.953011953667836	1.1191714266051421e-4	2.843675196865934e-4	0.09742964323000347	A2780	UP
HALLMARK_HEME_METABOLISM	-0.13569314877162242	-0.012866844356950916	-4.945403247870478	1.1374700787463735e-4	2.843675196865934e-4	0.08090154608067035	A2780	DOWN
HALLMARK_HEDGEHOG_SIGNALING	-0.3492429046614952	0.004325733267166017	-4.703509488850124	1.9103227070642047e-4	4.548387397771916e-4	-0.44663476296786353	A2780	DOWN
HALLMARK_CHOLESTEROL_HOMEOSTASIS	0.1509156498131533	-0.01949001806772868	4.190465876056557	5.825242681808419e-4	0.0013239187913200953	-1.574648427273594	A2780	UP
HALLMARK_XENOBIOTIC_METABOLISM	0.15876492784910629	8.852526549157254e-4	3.7075469371308563	0.0016818037388881275	0.0036560950845394074	-2.6369033584540684	A2780	UP
HALLMARK_APICAL_SURFACE	0.19511085303736325	0.00708863903608517	3.3979373945092575	0.003317543012191658	0.006911547942065954	-3.3104638076419644	A2780	UP
HALLMARK_ANGIOGENESIS	-0.2238900211636586	0.019313594531179805	-3.1284045221365093	0.0059681751740954195	0.011936350348190839	-3.8869425374234616	A2780	DOWN
HALLMARK_DNA_REPAIR	0.19533596112790708	-0.026441411420850155	3.0443832037154395	0.007157342295608686	0.013703492057863082	-4.064043853460827	A2780	UP
HALLMARK_WNT_BETA_CATENIN_SIGNALING	-0.2613963932215855	-0.012774812095788745	-3.0289320186875486	0.007399885711246064	0.013703492057863082	-4.09645460855382	A2780	DOWN
HALLMARK_GLYCOLYSIS	0.1363944576783614	-0.02594990598674765	2.860996008068198	0.010608437655846844	0.018943638671155078	-4.445212340437129	A2780	UP
HALLMARK_PI3K_AKT_MTOR_SIGNALING	0.1249114406068187	-0.02612760454141727	2.8432454201892803	0.011017459084814983	0.01899561911174997	-4.481670577826257	A2780	UP
HALLMARK_KRAS_SIGNALING_DN	0.14410507368041506	0.009580832854855037	2.5980062487873323	0.01847604419251352	0.030793406987522535	-4.976149836864675	A2780	UP
HALLMARK_IL6_JAK_STAT3_SIGNALING	0.1145001352112947	0.0038377648235817016	2.505412768325489	0.022387433700596877	0.03610876403322077	-5.157825757060736	A2780	UP
